Name,Comment,Time,Likes
wahine1976,"at one point in my life, almost everything i bought was from the Gap (90s to early 2000s) but i havent shopped there in years. I used to buy a lot of work clothes at BR in Early 2000s-2015. but i just think their clothes lack personality and the print are terrible (ON, Gap and BR).",2020-11-03T03:58:10Z,0
Satyanarayana Padhy,"I was loyal GAP customer for decades, then one day at office the shirt just torn apart. Was so embarrassed. Switched to American Eagle and very much happy.
Quality killed GAP!!!",2020-10-27T21:40:56Z,0
P C,"This brand was selling bad quality, old fashioned look, at a high price.

They deserve to disappear.",2020-10-21T16:11:28Z,0
Cat Cat,I simply hate saying the word “gap”. Gross word.,2020-10-14T07:55:43Z,0
pleuvonics,Gap as a brand is bland and beige. It’s not cool.,2020-09-29T17:49:07Z,0
Nia Belizaire,I love wearing the Gap! :),2020-09-28T13:50:11Z,0
ellina b,I think gap is cute with those vintage letters and stuff but they need to make a bigger variety for people to buy more different items,2020-09-07T19:15:15Z,0
Midge Cooper,"Oh I used to love GAP but it's so boring now. I went into the Oxford store last week and to my surprise I found something I actually wanted to buy, took it to the till but it had no price on it. The guy on the till said he'd have to speak to the manager since there was no price ticket, he returned and told me he couldn't sell it to me because of the missing price label. Never again.",2020-09-07T09:10:52Z,0
Pixel Pudding 39,7 year old me lived in that one navy blue hoodie. You know what I mean.,2020-09-03T06:06:29Z,1
Aria Kabganian,Kanye gonna revive gap,2020-08-29T17:17:51Z,5
Felipe Mendoza,Ye...,2020-08-27T05:07:50Z,0
Molt_ed,You copied KonekoKitten! Unsubscribing!,2020-08-26T14:32:12Z,0
Austin Konig,Gap is gonna blow up after ye’s contract,2020-08-22T23:28:04Z,2
Aedan O’Kelly,Everyone’s talking about how they don’t like a huge logo across their chest but for some reason I love that. Perhaps I live in the wrong time,2020-08-18T23:04:04Z,0
useful chickens,"I don't think we have old navy in Japan so Gap here I'd say is pretty successful 🥺
and it doesn't really put the gap logo on anything here",2020-08-13T02:32:34Z,0
DHRGKBQXTJR,The power of Britney. Killing industries with a shake of her hips. Bow down to the Queen.,2020-08-11T08:08:21Z,0
Bruce Gomez-Perez,"Who is watching this, and reading the hate comments while wearing a gap shirt",2020-08-11T04:47:27Z,1
Brayan Cervantes,YZY X GAP,2020-08-11T01:45:06Z,5
Elizabeth,they should've gone the brandy melville route of faux 90s normcore to grab the younge millenials and gen z market,2020-08-10T18:02:36Z,0
BROD PITT,I like the Gap Fat commericail from SNL lol,2020-08-09T19:27:28Z,1
hummy bird,tbh gap is getting better,2020-08-08T19:10:22Z,1
Elisabeth Fanfan,Awe I remeber going in there with my mom this is sad,2020-08-02T20:15:46Z,0
Robin Raj,Oh look.. Old Navy is not going to branch out from GAP Inc after all!,2020-07-25T11:36:41Z,0
Uthman Baksh,The only problem I have with Gap is the fact that they have to plaster GAP all over their clothes. Even I have ditched them and Old Navy and have gone over to American Eagle and H&M.,2020-07-12T03:17:40Z,0
Aida Sall,"Wait I’m sorry, but did they just say “liberal” and baby boomers on the same sentence? Yeah no. Just no.",2020-07-10T18:50:20Z,2
Terry Whitney,I ❤ Gap!,2020-07-09T21:31:49Z,0
"Contact 👉 Maskoffweb,com 👈","Hi everyone I was sent another hack online from Maskoffweb,com hack team today",2020-07-07T04:06:22Z,0
Sean Wang,who’s here after kanye’s with gap,2020-07-05T02:50:10Z,2
Felix The Cat,"Hey, GAP, your clothes are really boring and also super expensive for no reason. Also, thanks for ruining Old Navy, there's nothing I want to buy there either. You know what young people like? Colors....style...Young adults don't want to wear boring polo shirts and khakis",2020-07-04T14:09:50Z,0
Daniel Szilagyi,"They didn't mention the larger and creeping price increases as well, GAP has YOY started to become more and more expensive sometimes costing more than the Banana Republic which in my opinion was supposed to be their ""expensive"" brand.
Another factor is that when companies around you are casual as well what makes you stand out? honestly, the styles between GAP, Hollister, A&F, Jack & Jones, and half a dozen others are so similar that most buyers will probably just go to one of those stores or whoever is cheaper, it's not as if GAP was known for quality anyway.",2020-07-04T00:18:37Z,0
SLEEPYBROWN95able,Who’s here after Yeezy partnered with Gap!,2020-06-30T04:33:27Z,1
Zeon_ Cipher,yeezy affect,2020-06-29T01:45:32Z,0
Chiranjit Abhijishya,Gap was ok,2020-06-13T22:57:44Z,0
Debasmita Nandy,"Crazy, stupid love had a hand in this. The line "" Be better than the gap"" caused a lot of damage",2020-05-29T12:22:07Z,0
愷慎,6:55 there were two Malaysias 😂,2020-05-28T18:41:32Z,0
Camara Thomas,"I used to work at Old Navy, it’s the same difference. Here’s what I noticed: They pride their customers on having credit cards to get the best deals. Newsflash, NOBODY WANTS A CREDIT CARD FROM YOU ALL. Next, their clothes are EXPENSIVE. The only thing worthy of buying there are the JEANS. Everything else is poorly made in third world companies with all shirts $20+. Next, their clothes are catered to families. NEWSFLASH—people in America are having LESS children. Thirdly, they have failed to adapt to the ever-changing fashion trends. Make it easier for consumers to find what they need and make it cheaper. People don’t want anything that’s difficult, especially if they’re already dealing with their own things. I shouldn’t walk into a GAP store with 100 bucks and only grab two items. That’s the problem.",2020-05-28T04:25:54Z,0
Victor Morgado,"Gap Kakis of the 80s were totally different from the 90s. The quality was better in the 80s, the fabric was thicker and more comfortable, as they got more successful the quality of the  kaki pants fell, they were s thing as any cheap pant in a lower range store, btu as at a higher price",2020-05-25T03:37:08Z,0
David K,never seen a gap store  in my life. Was it international?,2020-05-21T11:24:27Z,0
Dennis Vu,"It's price and lackluster style.  $40-60 for sweaters at GAP...H&M and other more modern quick fashion shops are 50% less than GAP.
 Also please hire a CEO that's actually in the apparel business",2020-05-20T23:01:55Z,0
Ryan Wehr,One of the big problems this video missed..   Gap has not been able to find new customers..  they have relied on their first base of clientele forever..  they launched gap kids and baby gap to appeal to their first costumers form the 70's and 80's.    I worked there.. every day the store look a loss from online returns and no foot traffic..  everything there is just bland...,2020-05-19T02:52:17Z,0
king_big_pp,"""Young, liberal baby-boomers""
My how times change.",2020-05-19T00:03:04Z,0
sushichocolate,am i the only one who saw the guy packing some serious heat at 2:09,2020-05-14T04:02:24Z,0
Samuele Maini,Music at 6:36?,2020-05-01T21:09:12Z,0
Mary Stein,anyone else been to that exact  athleta store in the picture in burlingame?,2020-04-22T06:46:19Z,0
Prashant Thakur,Stupid GAP on every corner.,2020-04-21T09:53:16Z,0
Turki A,Gap is the old Supreme,2020-04-12T14:47:34Z,1
ChrisS,I walked in and walked out was too expensive,2020-04-05T17:36:01Z,0
William Aleman,Love this store and company... Felt so rich when i ever stepped inside... Beautiful formal clothe!,2020-03-27T02:01:36Z,0
jada :p,Whoa it’s been exactly 1 year,2020-03-14T19:01:37Z,2
Ulan Ker.,Has anyone noticed 2.08   ??,2020-03-09T14:46:36Z,0
placeholder,maybe just don’t make a sweatshirt 70 dollars,2020-02-24T12:11:20Z,0
BENZ,Gap is hard asf I got 3 sweaters rn,2020-02-22T15:17:10Z,0
BENZ,SoundCloud rappers?,2020-02-22T15:16:52Z,0
Ckkriyissttiall Ckkioiokkiss,!!,2020-02-16T02:53:23Z,0
Original Unoriginal,"fashion enthusiasts ""sew""  a gap in the sector and so captured the market. 
GAP simply got gap-ped.",2020-02-16T01:04:00Z,0
ArchiFoxy1492,"4:30


Lol, Khakis' on Fridays? What happened to jeans?",2020-02-12T22:05:46Z,0
Richard Lim,@6:51 why 2 Malaysia? XD,2020-02-10T12:49:05Z,0
Like Nash,Its a greet Company for the time that the word gap was appealing  do have the best design and looks lose the big letter words gap it’s not appealing anymore I don’t want to wr  shirts or sweaters that has gap all over it,2020-02-09T18:00:28Z,0
