Name,Comment,Time,Likes
HA R,"It’s Britney, b****!",2019-03-21T13:25:43Z,0
(O=[][]=O),a company is a failure if it can't make record breaking profits year over year. that idea is insane.,2019-03-21T13:01:41Z,10
Z,"The clothes are bland, lifeless , and boring, pretty much like the dead malls that they reside in",2019-03-21T12:16:38Z,0
Jassim Ali,Uniqlo is what GAP should be,2019-03-21T09:26:45Z,0
Angel Kent,The D print on 2:07 you're welcome,2019-03-20T23:14:16Z,0
Christopher Walsh,Their others are crap! Frumpy with no style.,2019-03-20T23:06:53Z,0
Serena Chen,Too expensive even  t/shirt very x pensive.,2019-03-20T16:01:34Z,0
Christina,"I leave in Europe and I love Banana Republic for workwear.  They also do the best discounts, something not common to European chains. The quality is definitely higher than Zara or HM. 
Their problem is the styles.  Every season they look the same.",2019-03-20T13:41:46Z,3
Christina,"Miaou There are no BR stores in Europe ,  anymore. Only online.",2019-03-23T21:18:52Z,0
Polluting Penguin,I have no idea what that man is saying...,2019-03-20T11:11:24Z,1
v,just do a collab with vetements or off white and get those hypebeasts on the train,2019-03-20T08:10:56Z,0
Vince Al-Sherifi,"Hollister, Abercrombie and Fitch, and Aeropostale are next!",2019-03-20T02:54:32Z,559
Frank Flores,American Eagle!,2021-03-07T13:10:26Z,0
Rem Realm,"Never shopped at any of those stores. Hollister was always so freaking dark and you could smell it before you got to the store. I'm convinced areo is trolling us cause they the last time I saw it in the mall, it said going out of business...then the next time I went into the mall, all the signs disappeared lol",2019-12-20T08:10:16Z,0
Vanessa Baiza,@SG 318 I hope so...am I the only one who like their clothes?,2019-12-18T04:01:03Z,0
Ashley S,"Fawkk YuTuu agreed! How are people so busy that they don’t have 30 minutes to set foot in a store a few times each month. Sure, shopping online can be convenient and easy. Trying on clothes to make sure they fit well, and touching fabrics, picking out outfits...we still need stores for this. Online shopping isn’t a cure all. Reality is, they’re not that busy....and if they are...they should reconsider their career choice. That’s not healthy.",2019-12-11T03:14:14Z,2
K S,Aeropostale is already dead.,2019-12-06T03:13:03Z,0
Fawkk YuTuu,"@comment True but at a certain point in all this chaos do you ever ask yourself what's the rush and why are you working so hard?
Society has turned into an unhealthy insatiable bunch of zombies who don't even know how to interact or do anything social
anymore unless you can use your phone to do it. we're busier , greedier , more vain than the 90's. now we're holed up inside job cubicles 
and schools , we have forgot how to be human imo.",2019-12-01T20:48:07Z,2
Fawkk YuTuu,"Ah the premier poser stores. Nothing more comical than walking through an Abercrombie outlet and wading through the bs yuppie 
atmosphere with slutty superficial bimbo staff.",2019-12-01T20:38:25Z,1
Lil mess,"Vince Al-Sherifi but somehow hollister and these kinds of brands are big in Germany ( or at least where I live) 
But I don’t own any item of clothings from any of these brands :P",2019-12-01T01:24:02Z,0
kombucha.,This isnt happening to Urban outfitters and some other retailers,2019-11-28T10:57:26Z,1
kombucha.,Good..they're pretentious,2019-11-28T10:56:31Z,0
Dave Peartree,What about GUESS?,2019-11-27T19:02:32Z,1
itscarolina,AF is getting better but still sucks. Hollister and AE r meh. Jeans only really. Aeropostale is dead. Zara and Urban r on fire.,2019-11-15T02:10:32Z,2
J B,Hollister is owned by Abercrombie,2019-11-12T05:52:53Z,1
comment,"Are all these still around?? I almost never go to malls anymore, so have no idea what is out there. I just buy from several brands online, and that's it. People who have busy jobs have no time for these huge sprawling malls anymore. When you have limited time, it's very hard to figure out how to use it efficiently in these malls, which stores it's worth going into, because you don't have time to go into all of them. Clothes stores in general are depressing. So much easier to shop online.",2019-10-13T02:13:20Z,2
Sleepibot,I've gotten my favorite clothes from Abercrombie and Fitch they better not,2019-09-29T00:45:56Z,3
Josh Guthrie,"Yeah I think American Eagle has taken over the whole “high school” clothing industry, so Abercrombie and Aeropostale are gonna fall real soon.",2019-09-28T20:28:26Z,17
Bryan Millar,Hollister is doing really well so I don't think so,2019-04-07T14:37:34Z,18
Aaron Limitless,Hollister’s Sales have actually been growing and are now the general profit maker for Abercrombie and Fitch and Abercrombie and Fitch has leveled off in recent years and is actually profitable again actually read the news before just assuming sure they’re probably not as popular anywhere near what they were in the mid two thousands but they’re doing fine right now,2019-03-30T17:11:47Z,42
SG 318,"Vince Al-Sherifi Personally, I think Hollister and Abercrombie and Fitch will stick around for a longer time :)",2019-03-28T17:30:27Z,31
Lilli A,Vince Al-Sherifi idk man my nieces hs friends all live by hollisters jeans,2019-03-26T20:28:00Z,7
Shannon Johnson,Aeropostale already falling so many have closed,2019-03-25T13:53:29Z,58
AislingM,"Vince Al-Sherifi yep, more examples of 00’s stores that never moved with the times",2019-03-22T23:06:13Z,68
Mecha Jay,You could say there's a Big _GAP_ between the consumers and retailers 😏,2019-03-20T01:33:47Z,2
The Review Ninja ,I used to LOVE the gap when I was a teenager. The thing is I'm just not into fashion anymore. I have too many clothes as it is. Now that I'm 34 there are just much more important things than having the latest styles.,2019-03-19T22:11:05Z,8
SweetasSugar42,"Tbh I like quite a bit of Gap clothes. Their shorts are great and not booty shorts, and I like the 80's/90's twist their style always seems to have. I don't buy a lot of Gap because there's only one shop in my country and it's hours away for me to get to.",2019-03-19T21:55:12Z,0
rough rough,Hmm i love banana republic its the only clothes i wear,2019-03-19T17:16:22Z,2
Jamie Williams,Why is the current CEO and the last few CEO's old white men who know nothing about fashion. No wonder the company is doing poorly and internet companies like Everlane (which I personally love) are taking over!,2019-03-19T13:29:14Z,64
ania nissi,"@pistol shrimp they are just mentioning that younger CEOs might have a better idea of what is ""in"" right now",2021-01-07T14:21:45Z,1
pistol shrimp,That's a pretty racist statement Jamie.,2019-08-23T01:53:19Z,1
Hizboo,"They have people working for them designer and others,",2019-04-21T19:49:59Z,0
Cheng Yiq,I an watching this while wearing a green GAP shirt,2019-03-19T06:59:53Z,1
asa ikw,Teeth gap..,2019-03-19T01:10:08Z,0
thewillingwell,it's funny but whenever i see GAP is see uptight middle class families and dad jeans.  They should really update their branding.,2019-03-19T00:04:12Z,0
fredocorleone,"Last time I bought something from Gap was 2006 - a good pair of faded, black jeans that I wore 100s of times for 3 years. But their styles became very dated and prices wouldn't go down. I loved Banana Republic in the 90s, but their clothes became cut for fat 30-50 year olds from the early 2000s on...they went through a similar style decline that Nordstrom went through - their clothes would only fit chubby guys, trying to hide their fat areas. Gap and BR need to totally change their styles to suit, in-shape, 20-30 year olds, just like how Nordstrom has done in the past 5-8 years.
The cut of the clothes is fat at Gap and BR. Perhaps too many old and fat workers purchase inventory for Gap and BR.",2019-03-18T22:02:47Z,0
Fickle Me,"""young, liberal, baby boomers"" boi that gave me whiplash",2019-03-18T21:15:56Z,0
ass,"Gap is really boring and overpriced, I have one denim jacket I bought from gap outlet for £20 and I really like it for that price but would never pay the original price of £80",2019-03-18T19:36:13Z,0
jpalm32,"Notice all boost in sales are from new names, then collapse as people tire of them",2019-03-18T18:49:13Z,0
jpalm32,Old Crap. Crap employees on their cell phones,2019-03-18T18:43:01Z,0
esha160656,I wish we were allowed to be on our phones,2019-03-22T08:27:32Z,0
KN Byam,Gap is just old Navy with higher prices.,2019-03-18T08:49:05Z,0
Abdel Hammami,"The problem with Gap is that after 2001 they have been trying to sell  clothes 3 times more expensive that they would cost before 2003. I'm sure everyone figured that out and stopped going in their stores, at least I am.",2019-03-18T08:45:32Z,0
MsJubjubbird,"labels don't mean as much for clothes anymore. These days labels are more important for technology- phones, tablets, laptops. So unless you're a high end shopper then you don't care. Especially as cheaper retailers are now making quite stylish clothes whereas before discount stores were seen as where you got daggy clothes that didn't last more than one wash cycle. Even what were considered fashionable brands like Mambo and Malibu are selling products in discount stores.  The Gap was based on being cool and they could charge a premium for it.  But fashion labels are not as important anymore so people aren't prepared to pay for cool when it comes to clothes. The Gap charged what was seen as a premium for teens but to adults it's not that big a deal and it's mid-level retailers that are getting bitten with new fashion trends.",2019-03-18T08:14:48Z,0
Marcus LeeP,Thank you...,2019-03-18T07:30:19Z,0
no further west,What happened was H&M and Forever 21. Gap should have kept innovating with new brands or tried to acquire more.,2019-03-18T05:46:51Z,0
Patricia Paixao,I like their outlets for stay home clothing because its cheap but we have a concern now about fast fashion.,2019-03-17T21:47:20Z,0
MzBrazilian87,Uniqlo came lol,2019-03-17T19:19:07Z,1
Zumba Anthony,A print in the guy’s pants @ 2:08. You’re welcome 😌😂,2019-03-17T18:28:08Z,4
T-Bag Bagwell,Perhaps that was the fashion lmao,2020-07-25T00:29:58Z,0
CrAzY- BeautifulGG,I have jackets and Jeans from Gap that look like new yearsss later. I grew up on Gap clothing. I don't shop there as often as I did before but when I need basics or starting a new job I think of Gap. The quality has changed a lot.,2019-03-17T18:24:02Z,1
Da Fuq,Leslie Picker is 👌,2019-03-17T18:16:18Z,0
Vicky Vicky,"For similar quality, I’d like to go old navy rather than Gap. Even at the outlet Gap is too expensive compare to the quality and price.",2019-03-17T18:07:07Z,1
Arthur M,"GAP is way too expensive now. Quality of clothes at Banana Republic have gone down the drain. Customer service at both stores is minimal at best. Sorry GAP, but there's way more places I'll spend my money in 2019!",2019-03-17T16:56:12Z,13
Edd,Arthur M you’re soooooooo handsome 👱🏻‍♂️,2019-04-06T21:18:49Z,0
Cheyenne Harmon,"Gap does have quality clothes. They should pick an age demographic and update their styles, this isn’t 1998-2005 anymore. Consumers don’t like big letters, and “blend in” clothes. Fashion Nova, Forever 21, Zara and H&M are fast fashion stores, they create a sense of urgency. 1) the style may not sell out in 24-36 hours and 2) the style may be pulled within 2 weeks if its not “trendy” anymore. The Gap clothes are lack luster and predictable. 

Also, traditional mall stores, Gap, Victoria Secret, JC Penny, Sears, and etc, are all struggling. Consumers are not going to the mall like they used to. With less foot traffic, statistically, it lessens the chance of impulse buying. 

I think Gap should partner with virtual reality, sponsor an IG model, and put fashion games on the App Store if they want to reach a younger 15-30 crowd. Being a stand alone fashion store isn’t enough in 2019.",2019-03-17T15:47:28Z,17
Nobody 415,"Dear Gap, just carry larger sizes and I'll shop at your store again.",2019-03-17T15:28:08Z,0
IndiMo,"I used to love GAP but nowadays the clothes are so plain, no style and expensive",2019-03-17T13:00:21Z,26
TigerTT,"Exactly,its like why buy them when you could just buy extremely similar looking  clothes from Walmart for far less? lol",2019-03-21T00:48:26Z,1
Dave Mechler,Why does Mickey look like George Costanza?,2019-03-17T12:33:37Z,1
Scott Rogers,I CANNOT wait for EXPRESS clothing to tank.,2019-03-17T02:46:13Z,50
Scott Rogers,Richard Piccolella give it time......outlet express already happening in multiple states. It can only hold the buisness for so long.,2019-04-01T20:47:27Z,0
Richard Piccolella,It will not happen. I work for them. We owe no debt and all New Jersey locations are constantly busy even for weekday traffic. Honestly speaking! Now Forever 21 is heading down! I've noticed at times their store is empty. Oversized stores and defunt fashion. H&M is great for work clothes too but Express is on top for everyday working individuals who like deals. It sells,2019-03-27T11:44:45Z,6
Caged,Today...cheap is what we want.  Give me a thrift store any day over some department store merchandise.,2019-03-17T01:37:18Z,0
Roni,How is banana republic struggling when clothes are always sold out,2019-03-17T01:15:37Z,0
02Nawal,That's because their clothes are Walmart quality and over priced. I haven't shopped at GAP for years.,2019-03-17T00:23:44Z,1069
Jamil Gotcher,"Their t-shirts really aren't Walmart quality, they're really nice. They aren't those thin t-shirts that Walmart sells and they keep their color and don't fade like all the other cheap crap. Right now they have some super cute square neck t-shirts that are long sleeve and so much better quality than Walmart.",2020-12-16T05:32:05Z,1
Hayley Marse,Personally I shop at gap for my quality items.,2019-11-19T04:02:20Z,0
Le Huy-Anh,"​@Doan Trinh GAP *also failed in France and Japan* because the *French love the 60's and 80's* , and the *Japanese love the 50's and 80's* , and *GAP offers nothing but bland, suburban 90's.*",2019-10-26T05:38:10Z,0
PRETTY GIRL POLITICS,Walmart has come up in their quality and designs. So not the best comparison.,2019-10-19T19:39:00Z,0
comment,@Wendy F You hit it - overwhelming for sure! The whole retail clothes scene in the US is.,2019-10-13T02:20:18Z,0
comment,"yeah really, Walmart on steroids. Most retail clothes stores these days are pretty much like that. What people are actually paying for is strictly the more appealing setting and location, a more pleasant shopping experience in a way, that's it.",2019-10-13T02:18:46Z,1
The Matadore,agreed!,2019-06-26T00:21:05Z,0
Doan Trinh,Yep! Their clothes fades and pills easily.,2019-06-21T17:49:14Z,3
TheMrgoodmanners,"my thoughts exactly, cheap asian made jeans going for almost 30bucks a piece",2019-05-26T19:25:37Z,0
Jj,"@Wendy F Agree. That trend started in the late seventies with blue jeans: thinner, poor dyes, low gauge (thickness), poor stitching. I remember it well, my pair upon first washing caused a hole in the thigh. It's been downhill ever since. It started with women's clothing then moved to the men's. Up to that point, my jeans lasted 10 years. I am nearly 73, male, etc so have a perspective of the decline. I know because a dear elderly friend told me in the late sixties she started turning new bought clothes inside out, then ran her sewing machine through each and every length of stitching. That caught my attention. She was alive and well during the Depression, and believed in making her clothes last. Seems everything now is lightweight and fragile.",2019-05-11T15:49:23Z,5
Aria Love Tarot,Old navy is more so Walmart quality clothing haha,2019-05-06T15:58:58Z,2
Hizboo,Gap is not Walmart quality stupid idiot don't know what you're talkin about,2019-04-21T19:40:55Z,4
Wendy F,"02Nawal I found that with Old Navy. Used to always find T-shirts and shorts, but even the stores themselves look like a flea market (at least the one by me - too cluttered and overwhelming).  I get basic T-shirts still from GAP but I’m really picky - have to be thicker material and at LEAST half off, if not more.",2019-03-27T16:28:16Z,5
roxybes,Walmarts clothing quality has vastly improved over the past few years. Particularly their childrens cothing... its phenomenal.,2019-03-27T12:25:20Z,45
the Were Dragon,02Nawal all i can think about is the weird al yankavic song,2019-03-26T17:46:32Z,1
Richard Hannay,2:09... geez that guy was packing!,2019-03-17T00:13:02Z,1
Zhengzhao Mao,There was a chain in my hometown in China. But it didn’t exist very long because there s a Zara nearby and that Zara is still exist,2019-03-16T23:36:04Z,0
Strikye B,you typed Malaysia twice 6:56,2019-03-16T23:01:21Z,1
Big Dog,I never shopped at any off these stores they dont make anything in my size .Its unfortunate that these companies dont make plus size clothes 😩,2019-03-16T22:28:30Z,0
Chaywatchesvideos,"I went to banana republic a few weeks ago to buy jeans, they were extremely stiff and sold for $98. I went to Nordstrom and got a pair of higher quality, name brand jeans for $60.",2019-03-16T21:33:52Z,0
Chaywatchesvideos,Can you please replace the girl speaking for future videos? She is so monotone and painful to listen to.,2019-03-16T21:32:08Z,1
Ethan Qualle,"Dear Banana Republic and Gap,
sell clothes we want",2019-03-16T21:22:12Z,22
FTW Tech,*2018,2019-03-16T21:22:03Z,0
Dreamer818,Gap can't compete for with H&M and Uniqlo. It has to die.,2019-03-16T20:19:59Z,0
K Adnan,gap is too expensive,2019-03-16T20:03:44Z,0
Suhail Murtaza,ZARA should acquire G A P .,2019-03-16T19:10:59Z,7
Jose Toral,Gap being the middle company my ass a shirt for almost 30,2019-03-16T18:06:50Z,0
madboyreadynow28,I remember Old Navy was the first place to sale cargo shorts in mass in all colors. My brother and I went there and got them in all colors.,2019-03-16T18:04:11Z,0
Robert,The Gap is a relic of the 90s. Their clothes have not kept up with times. Run of the mill khakis and polos in different colors just doesn't cut it.,2019-03-16T17:44:36Z,0
Mary Salmon,"i still like the gap for basic t shirts I wear casual and under suit jackets at work.  I have not bought a pair of jeans there is years, I feel overpriced for the quality. i do have some 20 year old jeans from the gap that are still holding up.",2019-03-16T17:32:56Z,0
Rspen,"Stores like GAP and BR are being overshadowed by stores like H&M and Forever21 due to their inability to change with the times. In the aforementioned video, it stated that that GAP was born out of a more relaxed post 1950s dressy era. So, with that GAP needs to make trendier clothes with more affordable prices with reasonable quality. Most people aren't looking to keep clothes for many years to come which goes back to the fact that most shoppers are younger that need quick disposable outfits for going out and partying. H&M and F21 over those clothes. Even middle age shoppers are wanting to dress trendier. It's just the sign of the times.",2019-03-16T17:06:45Z,2
Sierra Dearns,Why would I spend $50 on basics at Gap when I can go to H&M and spend $8?,2019-03-16T16:34:08Z,275
Cole Chapman,Both are made unethically and of cheap quality that won’t last a few washes so yeah I guess but I wouldn’t buy from either brand and buy less but higher quality stuff,2021-09-07T14:13:17Z,1
habib,Ikr,2021-05-16T12:16:31Z,0
Jamil Gotcher,"It's called a sale, duh. And the quality is better than H&M, Walmart and all the other cheap places.",2020-12-16T05:33:52Z,7
Eureka Mreum,"They're both made unethically, so yeah",2019-11-14T18:01:09Z,29
TigerTT,That and they probably come from the same factory too lmfao.,2019-03-21T00:49:32Z,53
Ton Son,Too expensive than a levi's and their design is too boring.,2019-03-16T16:27:09Z,0
Christina Harrison,"GAP  went downhill when they started treating managers and staff like they are criminals. Every time I stepped into the store, the staff looked miserable. You see these quick meetings, pushing staff on sales, but the products went downhill and pushing the staff on sales was uncalled for. They don't have control of the losers at head office making poor decisions.",2019-03-16T16:08:50Z,0
Mr. Hooty,Do people not understand how public companies operate? Shareholders literally only care about ways to profit on their investment in a company. This plan serves the purpose of letting the shareholders sell off shares for a profit. Nothing to do with the business or making the brand better or worse. Just people looking to get a payday.,2019-03-16T15:51:19Z,0
Gregory,Banana republic is too expensive. That's why people don't buy. Not worth it.,2019-03-16T15:50:54Z,1
Hug a Tree,"I loved Banana Republic when it was a catalog store, now it's turned into frumpy outdated office apparel. What happened? Athleta is a bit over priced and Gap carries the same clothes I wore in the 90's. Bring in some new designers and buyers. There's a good reason nobody wants your clothes anymore!",2019-03-16T13:33:44Z,0
David Evans,"I can tell you the problem. Expectations. Dumb-ass expectations. The company went from nothing into a Power condition. Power is a high long term affluence which levels out. The leveling was treated as an emergency. Huge mistake, that THAT caused the downfall.",2019-03-16T13:16:00Z,0
Anime watch,"Look at their past 3 CEOs. None of them are specialized in fashion and clothing. They only know how to read numbers and excel sheet, thus they are only good at milking off past success and rotting the company brand away.",2019-03-16T11:15:03Z,0
English English,Jim Cramer said what??,2019-03-16T11:07:39Z,0
The Milkman,My grandma wore gap..... once,2019-03-16T09:55:45Z,1
Jobs mine,"I do like it tbh, but Old Navy is my favorite though...",2019-03-16T09:21:55Z,0
Ad Hyung,"their cutting sucks and their brand is for old people, how cant the ceo didnt see this... stewpud",2019-03-16T09:10:03Z,0
TheRasta25,What do expect when you try to sell $60 for a baby pant ??? That’s Gap . Went H&M n got a $15 pant .,2019-03-16T08:21:23Z,0
RON H,"GAP
Favorite dress of William Jefferson Clinton",2019-03-16T07:47:42Z,0
Elephant In The Room,Old navy was solid gold in 1997 in 7th grade......It was such an upgrade from the walmart clothes you had in elementary school,2019-03-16T07:08:57Z,5
stevendchu,"Personally, I blame Ryan Golsing.
www.youtube.com/watch?v=-KsoPAXS0ME",2019-03-16T05:53:05Z,0
Armstrong Chan,"Their design is way too basic and boring, lack of personality!",2019-03-16T05:28:11Z,455
jean-christophe peeters,That's for sure!!!,2020-01-21T01:32:34Z,0
Shay,"The thing is, that’s literally what Gap is meant to be. Basics. Simple. Easy to wear.",2020-01-05T17:50:24Z,0
Tech Blogger,Roars The problem is they’re too scared of losing their current customer base even though that’s falling slowly year in year they need a bold Redesign and rebrand to inject some youth into the brand,2019-10-19T12:56:41Z,0
comment,"@ROARS They are made cheap cheap cheap, usually in China or some other distant land. Even some high end catalogs can't seem to make dresses with seams that aren't scratchy. Have to wear camisoles under all of them. It's atrocious that they can't even tape their seams properly. And none of it is cheap in price. Very messed up system.",2019-10-13T02:17:14Z,1
ROARS,"exactly -- and they dont need to constantly be on trend (like fast fashion) but the only reason I went to Gap in the past 6 years was when I was looking for plain khakis for work. Ended up getting them from Old Navy (and felt they were still overpriced. Anyways, I didnt find anything else interesting in the store at all, and a lot of the shirts felt incredibly thin and just had no character.",2019-09-19T16:45:22Z,5
Rachel C,Is what consumers think today because of what's on trend.,2019-06-11T15:54:20Z,1
SRKY,Old navy just sucks..,2019-03-16T05:21:48Z,0
Schmurda,"When I go to Gap they have almost nothing, literally",2019-03-16T05:17:43Z,1
joeye12,Gap i saw them grow as a brand and down size stores. Does no one remember piper lime.  Border stores holy week is approaching. Managers you Better hit your numbers. Never forget your disposable. F#@& retail,2019-03-16T05:07:20Z,0
R S,"Gap should have merged with old navy and closed all the excess stores in high traffic areas. Also, banana republic should have focused more on quality and branding. They could have incorporated celebrities and social media to appeal to all demographics. It took 10+ years of declining growth for the company to react. Terrible management.",2019-03-16T04:55:24Z,0
silenthillstrangler,So this is where the boring people of YouTube go.,2019-03-16T04:42:28Z,0
ZYNALL JORDAN,Slowly all is turning to amazon and other websites to buys products. Mall store such as gap is a past thing,2019-03-16T04:22:51Z,0
Adan De Leon,i actually like Gap clothes,2019-03-16T04:14:23Z,0
Selin Deniz Çebi,"Biggest problem of Gap group is, lack of fashionable iconic and chic designs. They generally make humble casual things to wrap up your body, not to be chic!!! They have to learn from İtalians, Turks and Koreans to succeed!!!",2019-03-16T04:05:26Z,1
hongpingmike,Mickey is George costanza,2019-03-16T03:53:22Z,2
Adrian Elias,Make GAP Great Again!,2019-03-16T03:37:53Z,0
Kerra Johnson,*Jim Cramer needs closed caption.*,2019-03-16T02:27:52Z,1
Dominic Gamboa,Am I the only one who likes GAP's aesthetic?,2019-03-16T02:14:16Z,19
Fawnda Kemp,"Same here... I believe it just boils down to GAP, almost becoming a “speciality brand”. Special only to those of us that more than likely have a lot of nostalgia connected to it. I certainly do, I’ve always loved and worn GAP...always will. Although, I don’t totally disagree with the “quality” aspect that many people were speaking of; it certainly has changed over the years...but what hasn’t?",2020-07-26T11:03:48Z,1
Potato Youtube,"Dominic Gamboa I know I’m late but ur the first person that said that and I agree, most people in the comments dont really like it, but I do. And like for me, Gap is not as expensive, cus I buy em when they are the cheapest, and in my country or continent, its not expensive. I just like Gap, but I respect their opinions tho.",2020-05-23T10:59:25Z,0
Z Z,"LMAO you guys got this idea from...The Company Man. Good stuff though, glad to see more of this type of content.",2019-03-16T01:48:00Z,1
Jennifer McGoldrick,"While I agree that the Gap and BR stopped impressing me a decade and a half ago at least (I still buy jeans and running’s clothes at old navy), I still have some well designed prize possessions from Gap and BR from the late 90s and early 2000s.",2019-03-16T01:22:38Z,0
Asahel,"remembering scene in FRIENDS
Joey to Ross
joey- nice shirt(sarcastically)
ross-youre wearing the same shirt
joey- stupid GAP on every corner",2019-03-16T01:19:26Z,23
Jazzy J,"I worked at the gap back in 2004-2005 and honestly I have shopped there since then because they’re so expensive and I no longer had the 40% discount! Now don’t get me wrong, some of theirs are GREAT quality, mostly jeans, blazers and their sweaters but it’s just so overpriced. A pair of jeans for 60$ only for a week later for them to be marked down to 30$..",2019-03-16T00:49:55Z,0
Anthony Z,The gentleman doing yoga at 7:35 is wearing a Sigourney Weaver shirt.,2019-03-16T00:36:24Z,0
Monalisa Menno,"I stopped  shopping  there when they discontinued my favorite fragrance ""dream"", I use to shop  for that spray and the tshirts",2019-03-16T00:04:43Z,3
Monalisa Menno,"CrAzY- BeautifulGG thanks a lot for telling me,  I didn't know, I think I have an outlet store in Katy like an hour  away from Houston",2019-03-17T20:18:27Z,1
CrAzY- BeautifulGG,😂 I bought a bunch of those when they marked them down. Idk where you live but the outlets (gap factory stores)  have them. Last week I got my mom a ton of them she likes the pink fragrance I like the purple one. They had the blue one too. The package changed & they just had the body spray which are powerful they last on  lol,2019-03-17T18:16:32Z,1
Donatella,"A video talking about ""fashion"" and that old man has a necktie below the belt line…",2019-03-15T23:41:52Z,0
CZRbumm.,GAP has fine stitching.  Stick with it and it’ll blow up again.,2019-03-15T23:34:01Z,2
eoin mackay,Song at 1:45 anyone?,2019-03-15T23:31:07Z,0
Jessica S,"They really need to improve the style and quality. I love Gap and BN. However, I can find more stylish and beautiful clothes at the same or lower price at UNIQLO or Ann Taylor.",2019-03-15T23:20:35Z,0
Jesus,"it would be sad if it disappears, no one could fill that gap",2019-03-15T23:13:42Z,348
Prince Jerrick Falling-Darling,Boooo,2022-04-21T04:34:30Z,0
macy m,No pun intended 😂,2020-08-02T05:53:43Z,1
ianthia,@NextLevel Journey what the hell,2019-10-23T18:22:30Z,6
NextLevel Journey,"H&M, Zara, American Eagle are going Balls-Deep soooo... 🦴 💦 🍑 
that market is still Tight  mmm",2019-05-21T21:00:42Z,10
Princess Zelda,Aren't you punny?,2019-05-14T23:23:00Z,7
baronessvondengler,😉,2019-03-24T06:58:03Z,2
Jermaine Cornelius,"DRAB is the reason why I stopped shopping at GAP; the clothes there became very drab. Back in the mid to late 90's the GAP's clothes were stylish, colorful and very well made. I still have couple of sweaters and jackets that still look great today after all those years simply because they were very well made. But at some point during the mid 2000's their clothes became more and more drab and boring and meanwhile the prices stayed the same. I didn't mind the prices at all when the clothes were attractive. But I wasn't about to spend that kind of money on clothes that in my opinion looked lackluster + boring = DRAB. 

Since then it seems that more and more retailers are selling fast fashion which is pretty much the fast food of fashion because it is very cheaply made. A few years ago a H&M finally opened locally. I'd never been to one but I knew people who had shopped at one before and a lot of them raved about it. So I went there a few weeks after it's grand opening and it was a hot mess all up in there! It's common to see clothes tossed on floors in dressing rooms but clothes were strewn all over the entire store! It was as if a clothing bomb exploded in the place. Noticeably none of the employees seemed to care at all and neither did any of the crowd of customers. Of what was left hanging on racks I first noticed that the prices were extremely low. Secondly, the fact that the materials of the clothes looked and felt so poorly made explained why the prices were so cheap. I could tell right away that those clothes were only good for one or two wears, after that it wouldn't be any good. The quality was worse than Old Navy clothes because I think even Old Navy's clothes is more wearable after 1 or 2 wears. I thought to myself if that's what they want to buy so be it but I walked out of there and never went back.",2019-03-15T23:12:24Z,0
malkamusik,Fall into the Gap,2019-03-15T22:57:16Z,0
Game Clips,Why the hell are you using maps of the colonial empires?,2019-03-15T22:16:41Z,0
luverizimo,"Fail because same boring Polo ,different color, has no style, repeatedly looks  in same khakis & Polos
Uses peope as billboard advertising the brand , that trick fail long a go.",2019-03-15T21:58:39Z,2
SomeEthiopian,How nice of you guys to completely rip off CompanyMan,2019-03-15T21:51:42Z,2
a,Rise and Fall of CNBC please.,2019-03-15T21:27:49Z,8
Public Enema,👀 2:07 ❤,2019-03-15T20:51:46Z,1
Quan Fung,As USA cars their clothing industry and what they offer ...is really BAD ...just like America way of LIFE its all Mirage !!,2019-03-15T20:32:05Z,0
braindamage,Young liberal baby boomers LOL,2019-03-15T20:09:22Z,2
Rob V,"dat ass at 5:35, wow",2019-03-15T19:51:35Z,0
Romain Abbas,That Leslie Picker is hot,2019-03-15T19:42:12Z,0
revoredline,BE BETTER THAN THE GAP,2019-03-15T19:23:52Z,0
Abu Feras Abdullah,"Love this series, thanks guys 👌🏼",2019-03-15T19:01:10Z,0
TheCutBeautii,"The GAP is boring, plain and simple. Pun intended.",2019-03-15T18:54:59Z,1
UltimateColossal,Gap sell the most basic bland clothes and just plaster gap all over them. No one wants to wear something with that massive lettering across it anymore,2019-03-15T18:36:17Z,319
دب يدور مشاكل,Wait isn't under armor doing kind of the same thing?,2021-02-24T18:47:35Z,0
دب يدور مشاكل,Wait isn't under armor doing kind of the same thing?,2021-02-24T18:47:20Z,1
Dania Flores,Yeah I was gonna say Supreme too lmao. Most of the supreme shirts I see are black all over except the big and obvious supreme logo in front. So yeah,2020-05-31T18:27:59Z,0
olivia Salubi,"@Gina O i was just gonna say that..one word..supreme.
they plaster theyre logo over everything but i think that will ultimately be thier downfall in the long run just like gap",2020-04-15T12:43:25Z,3
Gina O,UltimateColossal SUPREME,2019-10-25T23:25:10Z,14
thanosmaster-Abel,Generation Z are going to want cheaper shit just a a heads up ! Cause the generation is coming,2019-03-15T18:27:16Z,0
Loganbay,"These stores fashion is so tired and there is so much better shopping like Forever 21, H&M, Zara, Top Shop,  brick and mortar stores are over . Now they are banking on Yoga pants ? Forget it",2019-03-15T18:26:54Z,0
Cjoel,😂😂😂😂😂 get it GAP it make all sense.,2019-03-15T18:13:10Z,0
Mc Lovin,"Haven't been in a Gap store since 2005, quite sometime I guess...",2019-03-15T18:08:49Z,0
Joel Lim,"i remembered the quality of GAP clothing is quite good but the fact they need to expand to outside of US, thats a sign its a dying company",2019-03-15T17:52:28Z,1
Haark65,Company Man!,2019-03-15T17:46:14Z,0
